chimera,ligand_1,ligand_2,n_1,n_2,mean_1,mean_2,sd_1,sd_2,sem_1,sem_2,tval_onesided,df_onesided,stderr_onesided,pval_onesided,sig (pval_onesided<0.05)
AncAllManT1R1T1R3,No ligand,Sucrose,6,6,3139.143343,6726.644142333334,565.9040297608477,991.5507182794523,231.02935271647715,404.7988856458019,-7.697069507550567,7.944839940433073,466.0865795500632,2.989232508435828e-5,yes
AncFlyManT1R1T1R3,No ligand,Sucrose,6,6,1980.9881968333334,2238.0870485,406.5606717100469,210.7265610640159,165.9776991954665,86.02875830971334,-1.37524280257002,7.505664396637722,186.9479710682409,0.10435039302257085,NA
AF1-18)-FM3,No ligand,Sucrose,6,6,2429.4361556666668,1681.5619425,679.522281444332,360.58884593521475,277.4138097317525,147.2097799133887,2.3813648189258187,7.609022654828148,314.05276806936973,0.976999563570969,NA
AF1-18)-AM3-39),No ligand,Sucrose,6,6,2258.4668263333333,4786.146426166666,472.15114293656075,677.7813885284748,192.75489694440998,276.7030931749732,-7.495582834407411,8.92775945166833,337.22255569378507,1.9379321178806592e-5,yes
Tham1Tham3,No ligand,Sucrose,6,6,2584.5019698333335,2292.7315295,702.9628788917893,905.5416855336156,286.9833935671286,369.6858450628636,0.6234367109389269,9.420807956720175,468.00330364555015,0.7261034337437227,NA
MyiCay13,No ligand,Sucrose,6,6,2283.2556543333335,2520.1032646666667,758.6958551301127,1378.5791132212933,309.7362858388872,562.8025662417813,-0.36868932426199097,7.774303975983481,642.4043083087188,0.3610984249060933,NA
Leco13,No ligand,Sucrose,6,6,2961.900063666667,23860.687617333333,877.7124466347638,2786.206097446693,358.3246058574969,1137.4638761626038,-17.524176145497893,5.982702247638683,1192.5689048175732,1.1379515919489585e-6,yes
Neo13,No ligand,Sucrose,6,6,2841.99267,12250.916798333334,393.6153374842389,3973.4897402478364,160.69278862829705,1622.1703936318784,-5.771956196469386,5.09812010750698,1630.1101061869845,0.001028557437337433,yes
AFM1-AF3-116,No ligand,Sucrose,12,12,1829.88532,2907.7016366666667,263.4991666383762,974.9362411327007,76.06565739495429,281.43985063034336,-3.6970018233429984,12.59851799175846,291.53794565674724,0.0014113246205240966,yes
