Ligand_ori,ori,sheet,Category,Ligand,mean,n,sd,sem
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-117),Sugar,Sucralose,7.000899625166666,6,1.8288166754038782,0.7466112813054389
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-117),Sugar,Sucrose,7.021369669499999,6,1.718554920336149,0.7015971082954932
50 mM His,"20211117,19_S3",AF1-18)-AF3-121),Amino acid,Histidine,113.446502585,6,2.994686240957418,1.2225755383465182
No ligand,"20211117,19_S3",AF1-18)-AF3-121),No ligand,No ligand,2.7347657595,6,0.6541410012650936,0.26705194548879413
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-121),Sugar,Sucralose,4.093595481666666,6,1.879553724812371,0.7673245949896366
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-121),Sugar,Sucrose,4.136572889333333,6,1.5406114750305056,0.6289520009502143
50 mM His,"20211117,19_S3",AF1-18)-AF3-122),Amino acid,Histidine,25.503328146333335,6,3.592645127579469,1.4666912315776452
No ligand,"20211117,19_S3",AF1-18)-AF3-122),No ligand,No ligand,2.5785186875,6,0.6707754936935574,0.27384294858544855
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-122),Sugar,Sucralose,9.094186844666666,6,1.9725672535211156,0.805297209074993
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-122),Sugar,Sucrose,5.6859917651666665,6,1.352925107895441,0.5523293624239513
50 mM His,"20211117,19_S3",AF1-18)-AF3-123),Amino acid,Histidine,31.858296550833334,6,2.168793793832311,0.8854063587006769
No ligand,"20211117,19_S3",AF1-18)-AF3-123),No ligand,No ligand,2.21153921,6,0.6528777777179904,0.26653623663521553
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-123),Sugar,Sucralose,2.9610521821666667,6,0.7825467695699133,0.31947338088493565
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-123),Sugar,Sucrose,3.70350484,6,0.8067406249734161,0.3293504809931456
50 mM His,"20211117,19_S3",AF1-18)-AF3-124),Amino acid,Histidine,31.10922878783333,6,9.3066516565514,3.7994246287297884
No ligand,"20211117,19_S3",AF1-18)-AF3-124),No ligand,No ligand,3.0408295691666667,6,0.6356431702567932,0.25950023760236607
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-124),Sugar,Sucralose,6.1276282554999995,6,2.146519229698409,0.8763128059721835
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-124),Sugar,Sucrose,4.555694248,6,2.0651940871525336,0.8431119555561001
50 mM His,"20211117,19_S3",AF1-18)-AF3-125),Amino acid,Histidine,101.66760650533334,6,9.88425095645549,4.035228555488757
No ligand,"20211117,19_S3",AF1-18)-AF3-125),No ligand,No ligand,2.7388531528333333,6,0.7065611780603174,0.2884523930512577
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-125),Sugar,Sucralose,2.4112868655,6,0.840873666155968,0.34328523670425504
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-125),Sugar,Sucrose,3.4802015955,6,1.4670491709126385,0.5989203160515123
50 mM His,"20211117,19_S3",AF1-18)-AF3-126),Amino acid,Histidine,18.275135652,6,1.525215106469806,0.6226664598059573
No ligand,"20211117,19_S3",AF1-18)-AF3-126),No ligand,No ligand,2.6725868408333335,6,1.1373328108878875,0.46431417573344014
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-126),Sugar,Sucralose,5.298232390833333,6,1.0504494825629245,0.42884420547496344
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-126),Sugar,Sucrose,5.068167590833333,6,0.874893046325437,0.357173590501081
50 mM His,"20211117,19_S3",AF1-18)-AF3-127),Amino acid,Histidine,24.601817206833335,6,7.8671171892056115,3.2117371433720625
No ligand,"20211117,19_S3",AF1-18)-AF3-127),No ligand,No ligand,2.6178906295,6,0.43702292373494533,0.17841386150831062
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-127),Sugar,Sucralose,6.137882464166667,6,2.05177175478625,0.837632311313527
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-127),Sugar,Sucrose,6.611374362166666,6,1.707721931379597,0.6971745590733669
50 mM His,"20211117,19_S3",AF1-18)-AF3-128),Amino acid,Histidine,29.861763212166668,6,5.111628395450715,2.086813553929294
No ligand,"20211117,19_S3",AF1-18)-AF3-128),No ligand,No ligand,2.434252260666667,6,0.5281785689711295,0.2156279978421132
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-128),Sugar,Sucralose,2.722869982333333,6,0.7579201228829537,0.3094195944751269
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-128),Sugar,Sucrose,7.2813434636666665,6,1.6362681197877336,0.6680036626438617
50 mM His,"20211117,19_S3",AF1-18)-AF3-129),Amino acid,Histidine,20.97545744583333,6,4.150345528259285,1.6943714667461918
No ligand,"20211117,19_S3",AF1-18)-AF3-129),No ligand,No ligand,3.0122973256666667,6,0.28088605375855497,0.1146712512620708
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-129),Sugar,Sucralose,2.0308165595,6,0.3378947712359692,0.13794496271376253
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-129),Sugar,Sucrose,2.4431499851666665,6,0.7386140889747536,0.30153793913646676
50 mM His,"20211117,19_S3",AF1-18)-AF3-130),Amino acid,Histidine,33.738516112666666,6,7.280168210845836,2.9721162263671728
No ligand,"20211117,19_S3",AF1-18)-AF3-130),No ligand,No ligand,1.9119556798333335,6,0.6061365890703057,0.24745422627554933
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-130),Sugar,Sucralose,2.6082668441666668,6,1.108318741351224,0.4524692314456976
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-130),Sugar,Sucrose,3.3473601006666667,6,1.1450087545376915,0.46744786660616955
50 mM His,"20211117,19_S3",AF1-18)-AF3-131),Amino acid,Histidine,102.849410407,6,5.199233136503095,2.122578039700457
No ligand,"20211117,19_S3",AF1-18)-AF3-131),No ligand,No ligand,2.1651178096666666,6,0.8468672065754919,0.34573208933435173
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-131),Sugar,Sucralose,2.4179562668333334,6,0.8291029736960613,0.33847987162992227
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-131),Sugar,Sucrose,3.2544103328333334,6,1.4641264972200883,0.597727139512945
50 mM His,"20211117,19_S3",AF1-18)-AF3-132),Amino acid,Histidine,104.7211819295,6,5.692068190362833,2.323777107919361
No ligand,"20211117,19_S3",AF1-18)-AF3-132),No ligand,No ligand,2.439549056333333,6,0.6643700295462,0.27122792879766233
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-132),Sugar,Sucralose,2.1745836143333332,6,0.5740889647490002,0.23437083843294826
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-132),Sugar,Sucrose,2.9322358165,6,1.513924854946172,0.6180572339225265
50 mM His,"20211117,19_S3",AF1-18)-AF3-133),Amino acid,Histidine,33.46792636166666,6,5.043837387217301,2.0591379907091807
No ligand,"20211117,19_S3",AF1-18)-AF3-133),No ligand,No ligand,2.2196355803333336,6,0.48213013642597097,0.19682880397701172
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-133),Sugar,Sucralose,2.468214314,6,0.36221920679331143,0.14787537194654587
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-133),Sugar,Sucrose,3.8248066906666667,6,0.847122634456821,0.34583636733024115
