Ligand_ori,ori,sheet,Category,Ligand,mean,n,sd,sem
100 mM Sucrose,"20211117,19_S2",AF1-29)-AF3-116),Sugar,Sucrose,4.3584890535,6,0.9226930087544712,0.3766878434469711
50 mM His,"20211117,19_S2",AF1-32)-AF3-116),Amino acid,Histidine,21.927783794333333,6,5.377088958345192,2.195187374916539
No ligand,"20211117,19_S2",AF1-32)-AF3-116),No ligand,No ligand,1.8432503599999999,6,0.6464677466958494,0.26391935242860615
100 mM Sucralose,"20211117,19_S2",AF1-32)-AF3-116),Sugar,Sucralose,3.8949541095,6,0.9070318494616624,0.37029420193899965
100 mM Sucrose,"20211117,19_S2",AF1-32)-AF3-116),Sugar,Sucrose,4.3296866275,6,1.1456697262541633,0.46771770717946415
50 mM His,"20211117,19_S3",AF1-18)-AF3-116),Amino acid,Histidine,25.027203918333335,6,8.842297757249698,3.6098529431696393
No ligand,"20211117,19_S3",AF1-18)-AF3-116),No ligand,No ligand,2.452728490833333,6,0.49286381097145066,0.20121080826059928
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-116),Sugar,Sucralose,15.1828071175,6,5.349864634098266,2.184073091083697
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-116),Sugar,Sucrose,7.146651489666667,6,2.1222910787709837,0.8664217047749618
50 mM His,"20211117,19_S3",AF1-18)-AF3-117),Amino acid,Histidine,32.55669759116667,6,7.822607836151014,3.1935662760778705
No ligand,"20211117,19_S3",AF1-18)-AF3-117),No ligand,No ligand,2.6413503935,6,0.8052892320176797,0.3287579523001749
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-117),Sugar,Sucralose,7.000899625166666,6,1.8288166754038782,0.7466112813054389
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-117),Sugar,Sucrose,7.021369669499999,6,1.718554920336149,0.7015971082954932
50 mM His,"20211117,19_S3",AF1-18)-AF3-121),Amino acid,Histidine,113.446502585,6,2.994686240957418,1.2225755383465182
No ligand,"20211117,19_S3",AF1-18)-AF3-121),No ligand,No ligand,2.7347657595,6,0.6541410012650936,0.26705194548879413
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-121),Sugar,Sucralose,4.093595481666666,6,1.879553724812371,0.7673245949896366
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-121),Sugar,Sucrose,4.136572889333333,6,1.5406114750305056,0.6289520009502143
50 mM His,"20211117,19_S3",AF1-18)-AF3-122),Amino acid,Histidine,25.503328146333335,6,3.592645127579469,1.4666912315776452
No ligand,"20211117,19_S3",AF1-18)-AF3-122),No ligand,No ligand,2.5785186875,6,0.6707754936935574,0.27384294858544855
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-122),Sugar,Sucralose,9.094186844666666,6,1.9725672535211156,0.805297209074993
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-122),Sugar,Sucrose,5.6859917651666665,6,1.352925107895441,0.5523293624239513
50 mM His,"20211117,19_S3",AF1-18)-AF3-124),Amino acid,Histidine,31.10922878783333,6,9.3066516565514,3.7994246287297884
No ligand,"20211117,19_S3",AF1-18)-AF3-124),No ligand,No ligand,3.0408295691666667,6,0.6356431702567932,0.25950023760236607
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-124),Sugar,Sucralose,6.1276282554999995,6,2.146519229698409,0.8763128059721835
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-124),Sugar,Sucrose,4.555694248,6,2.0651940871525336,0.8431119555561001
50 mM His,"20211117,19_S3",AF1-18)-AF3-126),Amino acid,Histidine,18.275135652,6,1.525215106469806,0.6226664598059573
No ligand,"20211117,19_S3",AF1-18)-AF3-126),No ligand,No ligand,2.6725868408333335,6,1.1373328108878875,0.46431417573344014
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-126),Sugar,Sucralose,5.298232390833333,6,1.0504494825629245,0.42884420547496344
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-126),Sugar,Sucrose,5.068167590833333,6,0.874893046325437,0.357173590501081
50 mM His,"20211117,19_S3",AF1-18)-AF3-127),Amino acid,Histidine,24.601817206833335,6,7.8671171892056115,3.2117371433720625
No ligand,"20211117,19_S3",AF1-18)-AF3-127),No ligand,No ligand,2.6178906295,6,0.43702292373494533,0.17841386150831062
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-127),Sugar,Sucralose,6.137882464166667,6,2.05177175478625,0.837632311313527
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-127),Sugar,Sucrose,6.611374362166666,6,1.707721931379597,0.6971745590733669
50 mM His,"20211117,19_S3",AF1-18)-AF3-133),Amino acid,Histidine,33.46792636166666,6,5.043837387217301,2.0591379907091807
No ligand,"20211117,19_S3",AF1-18)-AF3-133),No ligand,No ligand,2.2196355803333336,6,0.48213013642597097,0.19682880397701172
100 mM Sucralose,"20211117,19_S3",AF1-18)-AF3-133),Sugar,Sucralose,2.468214314,6,0.36221920679331143,0.14787537194654587
100 mM Sucrose,"20211117,19_S3",AF1-18)-AF3-133),Sugar,Sucrose,3.8248066906666667,6,0.847122634456821,0.34583636733024115
