DALE,tree75sp
Ilicura militaris,Illicura militaris
Xenopipo atronitens,Xenopipo atronitrens
Xenopipo flavicapilla,Chloropipo flavicapilla
Xenopipo unicolor,Chloropipo unicolor
Pipra cornuta,Ceratopipra cornuta
Pipra mentalis,Ceratopipra mentalis
Pipra chloromeros,Ceratopipra chloromeros
Pipra rubrocapilla,Ceratopipra rubrocapilla
Pipra erythrocephala,Ceratopipra erythrocephala
Pipra pipra,Dixiphia pipra
Xenopipo holochlora,Cryptopipo holochlora
